,Equal Weight,Trad. MVO,ML-Enhanced MVO (rank±5%),Black-Litterman,HRP,CCBN-only Benchmark,ML-MVO Raw μ (ablation)
2023-12-25,0.978663417424109,1.7233965499070076,1.724771225901734,1.7420364889064044,0.9330868816157261,2.1762511806473896,1.64083632079025
2023-12-26,0.977217053875444,1.7230053382471513,1.7243830106200881,1.741679029284701,0.9313394077196495,2.1762511806473896,1.6416411795348718
2023-12-27,0.9766984851736145,1.707951422539842,1.709294917268494,1.7262077617318907,0.9318222731467383,2.153930460049234,1.6292903724220513
2023-12-28,0.9775629591136114,1.7161390376557084,1.7175013983610241,1.7346255324453428,0.932238350080945,2.166108973634792,1.6362413521598054
2023-12-29,0.9854222993169723,1.7156764541615896,1.717043471746304,1.7342579970321343,0.939348836039783,2.1663210412943688,1.6391676721472985
2024-01-03,0.9869184963484255,1.7400893426221937,1.741502511849895,1.7594669191604442,0.9392684046901748,2.201377751211918,1.658052798050066
2024-01-04,1.0006239319258017,1.8218606628062646,1.8234628144240648,1.8445901519015993,0.9518646137497544,2.3242890947309935,1.7175579323109036
2024-01-05,1.0029153811666838,1.859347799102488,1.861025524921795,1.883394667057244,0.9524767244714561,2.3789365015035053,1.7440374070636961
2024-01-08,1.0017898393096756,1.8639863300691457,1.8656841089189946,1.8884097566659013,0.9520708212657768,2.3874191425954567,1.7460947802016888
2024-01-09,1.000789102797216,1.8382054897317248,1.8398234081037237,1.8611661497545133,0.9506990896023824,2.345336306595124,1.728581620851727
2024-01-10,1.0036796280971074,1.848535122571766,1.8501466902862707,1.871316849697303,0.9527499116265041,2.3560429521538797,1.7353265137036522
2024-01-11,1.0041002859640007,1.8574354596082088,1.859055208476077,1.8803352860670772,0.9528690253399995,2.3674543074012107,1.7403500751683008
2024-01-12,1.0065402542267938,1.8681610415831855,1.8697214104842248,1.8898226087499213,0.9532734917207805,2.370129984481093,1.7444667303349604
2024-01-15,1.010773603103942,1.8639971865798102,1.8654725956682054,1.8839868935250932,0.9552459275241911,2.351872668169602,1.7402912663196048
2024-01-16,1.0146704241952706,1.8625196828163264,1.863963722730765,1.8818922889558756,0.9586203617510922,2.345225826247021,1.7383798467331517
2024-01-17,1.0191421478028455,1.8673786377728105,1.868801725609493,1.8863097875175279,0.9615362038561338,2.3474372604761773,1.743091214518188
2024-01-18,1.0205204174376246,1.861331715463192,1.8627703001957476,1.8806016219270172,0.9635645598299309,2.343008132255649,1.7404554681302362
2024-01-19,1.0181389023461076,1.8581519641304955,1.8596132844635114,1.8778903558161977,0.9602559880246585,2.3429860074285034,1.739499710291957
2024-01-22,1.01567134390679,1.868134922613089,1.869674357163467,1.8893781208359597,0.9575930077205578,2.3666939812200725,1.747659199542244
2024-01-23,1.010020971285991,1.8612820929022114,1.8628599017962708,1.8833243353586884,0.9512878245783861,2.3650119902520026,1.7436910158515018
2024-01-24,1.0071663862153883,1.8507586013435784,1.8523418101162281,1.8729616333519707,0.9447211628984781,2.353924243781838,1.7384025022456102
2024-01-25,0.998639208183186,1.8408086812241318,1.8424641808222433,1.8645029914664772,0.9377272821677767,2.3541675880328836,1.732227300361716
2024-01-26,0.9971520029682105,1.8323477682646667,1.8340339625923197,1.8566973159535678,0.9329965019922151,2.349494927407124,1.7285655809190366
2024-01-29,0.9950704603276281,1.8252919003046744,1.8270003019817436,1.850120467305179,0.9376997160623302,2.3450660949413216,1.722107943492878
2024-01-30,0.9910808579561614,1.8140748008264642,1.8157401424126898,1.8381007600449504,0.9319738634614394,2.3254048141121575,1.714197344421267
2024-01-31,0.994397127098377,1.8220226987488228,1.8236779105254286,1.8456453236114576,0.9332547893439948,2.3326214343806724,1.7191942147272117
2024-02-01,0.9953988878934023,1.8256782809843417,1.8272574846345142,1.847033616871221,0.9293878274853984,2.323791143596599,1.7216463682603829
2024-02-02,0.997223322092054,1.8498450455444986,1.851380270251809,1.8695921763333914,0.9269750634675793,2.343564839352797,1.7344149458882994
2024-02-05,0.9961939044477125,1.8388044187017991,1.8403737033810958,1.8596921051470994,0.9261558345368267,2.3368625204873874,1.7308947120718863
2024-02-06,1.0019599167409938,1.831491212961012,1.8330703719408712,1.8527653312174681,0.9314125361410562,2.330293107522056,1.7302938794401816
2024-02-07,1.0034326419526076,1.8439475398585259,1.8455088990915003,1.8645346730989283,0.9318517954651954,2.34131106236236,1.7367597262395895
2024-02-08,1.0113268648785443,1.8458435475564414,1.8473922603935917,1.8660367187262095,0.9396127644307181,2.34131106236236,1.7429552289736314
2024-02-09,1.021173073017356,1.8581842907935837,1.8597938364961044,1.8799825040358809,0.9514088496577285,2.36548248463667,1.7602415668105356
2024-02-12,1.0276236208192093,1.8997906330168137,1.901493348052872,1.9237419273588428,0.95827641981601,2.4281228186577812,1.7916196812499428
2024-02-13,1.042201734965003,1.9753246422333455,1.9772016624266795,2.003337757398737,0.9725783034797538,2.54278865195832,1.8509736920686992
2024-02-14,1.052010562358492,2.0169404653483736,2.0189140857177557,2.047210464246617,0.9819520983101242,2.606129680828915,1.8888987733627072
2024-02-15,1.064373152932863,2.09181156421201,2.0939606744443506,2.126193828312483,0.9902907349980093,2.7204424801820046,1.9494148536098814
2024-02-16,1.068615122369555,2.1030874515173354,2.1052501066385823,2.1377124353343713,0.9942702613118412,2.735446068830632,1.9619332821235793
2024-02-19,1.085014962547755,2.267073195136181,2.269633233760027,2.3110948910389277,1.0068263692796873,2.988314884110451,2.077391673475058
2024-02-20,1.0993343967927065,2.4340029732604846,2.4369918728613906,2.4883224804570707,1.021051361056835,3.250488836379521,2.1910240700144588
2024-02-21,1.0882475151994162,2.26492883536569,2.2675216129501137,2.309925929863893,1.016375530073379,2.9912215882983095,2.079757153837102
2024-02-22,1.0987237172078106,2.376338114284529,2.3792194953313714,2.4282791451744967,1.0250193924222821,3.16664699775608,2.1587675459195546
2024-02-23,1.1025584438416915,2.3954260222879133,2.398346711074265,2.4482598752449927,1.0301738626434251,3.194947402712032,2.169454748222546
2024-02-26,1.1069817365038503,2.372740372306233,2.3756809500719283,2.4264732841633223,1.0344398055414854,3.173123906639284,2.167264925707852
2024-02-27,1.111950110204174,2.388509729569604,2.3914883197285537,2.4431436217152753,1.036806510053858,3.1974972578143084,2.1805946946180605
2024-02-28,1.1242714952835073,2.4073887724967973,2.4104064483750367,2.4629122847726648,1.0446064223220464,3.225537586822019,2.2063436766230358
2024-02-29,1.1214362211811304,2.383422473898366,2.3863952417504324,2.4378153320214238,1.0426307200207559,3.189735420175949,2.1914972253151594
2024-03-01,1.1310239867753917,2.4480881612277483,2.4512228537892615,2.5071152768308513,1.0492941376878582,3.2964317655990643,2.245529913405695
2024-03-04,1.1447602982554332,2.537375328873524,2.540711579059581,2.6019495621769044,1.0542236487357675,3.438424322200447,2.328495608848414
2024-03-05,1.1626381406920616,2.644054398688816,2.647622050834729,2.7148943510749173,1.064766972226409,3.6058696605650247,2.4161184851518964
2024-03-06,1.178338040485602,2.745432632997495,2.7492231829599527,2.822347898095816,1.0746892737978349,3.765883847294382,2.4930323574082047
2024-03-07,1.1898806000045716,2.740477507348018,2.7442669172002496,2.8174766260239648,1.0840206881217884,3.7605359174104693,2.500412305753491
2024-03-11,1.1986292454956595,2.7539489865938154,2.7577347784242887,2.830457696539945,1.0865113654982537,3.7733658792247677,2.522311400881429
2024-03-12,1.206614108290748,2.690921945965738,2.6945987603120782,2.7648075078798566,1.0907153520842876,3.6813381524812434,2.5151768306623676
2024-03-13,1.2005878162634736,2.5212800189558098,2.5245718746013246,2.5845287347826473,1.0823879142324013,3.410434527539632,2.4191926147171574
2024-03-14,1.2143229267038906,2.607422765207576,2.6109330497370737,2.6769593696272236,1.0888643761419479,3.553513749419965,2.500647998869828
2024-03-15,1.2307294746841582,2.585064766267873,2.5885008060810586,2.6522831518222425,1.0929033966439499,3.511895935674683,2.532408963016828
2024-03-18,1.267586120171209,2.5410133287344143,2.5443709289756153,2.6063110253249127,1.1064814013826927,3.447044637622975,2.6001707518019463
2024-03-19,1.2397886979325732,2.523237619828364,2.526538579030869,2.5867865222037456,1.0952396930120467,3.4145974995681247,2.5202473693056127
2024-03-20,1.2097570804486966,2.4864979508663105,2.4896890827753806,2.546715725234153,1.0855742470857277,3.349391930219989,2.420915910304226
2024-03-26,1.2060776441851924,2.452931306141458,2.4560779675182784,2.5122820093609595,1.0820988256672472,3.3038292356218992,2.401720711989635
2024-03-27,1.203438530953544,2.40344633508094,2.4065087770055102,2.4607926280894192,1.0804626275248899,3.2320023754709934,2.3721597133106127
2024-03-28,1.2083699646857657,2.423284103448017,2.426376531461514,2.481286922564849,1.0826049879414863,3.259852346540447,2.392449601630155
2024-03-29,1.2077973506591821,2.4148752810042433,2.417941492569682,2.4720743454103897,1.0829293215082814,3.2446805286389697,2.3859737392389997
2024-04-01,1.216519777128534,2.565409302589041,2.568796828593274,2.6312374480270844,1.0882588349718954,3.479352492063974,2.4887663582363806
2024-04-02,1.2109828379668344,2.6148624694302325,2.6183023672826553,2.681455731976282,1.0843331327084464,3.5431745263676904,2.4992026774061418
2024-04-03,1.194534907058324,2.5492398075991236,2.5525309971794528,2.6117313411795537,1.0770203511591983,3.438592845453103,2.4276072467135963
2024-04-04,1.1972893501954038,2.544022017893971,2.5475812302216942,2.6035862846894533,1.073593328235802,3.422642922315709,2.4309887752336925
2024-04-05,1.1991926811665474,2.5395131553915897,2.54323821910365,2.5985570243075706,1.074070595398334,3.418396759209814,2.4343395217175487
2024-04-08,1.2060755966638248,2.554859656002415,2.5588080973707332,2.613901385007542,1.0781839251106407,3.4418697022668785,2.4518210519179453
2024-04-09,1.2060108134429384,2.5656539313944937,2.5695550285864797,2.625553379878367,1.0770141835421472,3.4582471678617948,2.4584002660973985
2024-04-10,1.2039151516426168,2.5654448404998433,2.5692518447752652,2.6262289646984587,1.0781689576056388,3.4606466307466666,2.4539232557015787
2024-04-11,1.2069907427713367,2.5592036193060235,2.5631032897685344,2.6190669630961803,1.0814572294565183,3.45038732276094,2.453677785781047
2024-04-12,1.2087432635852826,2.556352950375659,2.5602469185407397,2.615303461202514,1.0801847599456849,3.4418256963369886,2.454318782436231
2024-04-15,1.2044029110839092,2.5447069968640523,2.5485003054588056,2.6034746473651853,1.0770576080637007,3.4246380166918384,2.4410187538976684
2024-04-16,1.1944576740222983,2.5112243222103277,2.515081399654223,2.570644315671526,1.0715047392491872,3.390175959676628,2.416711682210532
2024-04-17,1.1937622847301754,2.5271321167366674,2.5309348063753903,2.588396299671449,1.0724038194429861,3.417899453380541,2.4248355971184643
