,Equal Weight,Trad. MVO (40% cap),ML-MVO (40% cap),BL (40% cap),HRP
2024-02-01,0.9953988878934023,1.2029117801898221,1.2015073422118199,1.2544111712072838,0.9293878274853984
2024-02-02,0.997223322092054,1.2208309623073448,1.2193450240786239,1.2778376105043276,0.9269750634675793
2024-02-05,0.9961939044477125,1.2110683407153997,1.2097134282544348,1.2655740178498458,0.9261558345368267
2024-02-06,1.0019599167409938,1.2051762693229267,1.203894768691782,1.2588742778550768,0.9314125361410562
2024-02-07,1.0034326419526076,1.215336538745403,1.2139432634161706,1.270576228077946,0.9318517954651954
2024-02-08,1.0113268648785443,1.2209271942909847,1.2195583067499614,1.276426199201333,0.9396127644307181
2024-02-09,1.021173073017356,1.2259207149074773,1.2246459021218759,1.2791188383862258,0.9514088496577285
2024-02-12,1.0276236208192093,1.2404429465296447,1.2391684532334866,1.2939025619741333,0.95827641981601
2024-02-13,1.042201734965003,1.2656438612158105,1.264466724514934,1.3203299195063245,0.9725783034797538
2024-02-14,1.052010562358492,1.2802358945888923,1.2793381551405898,1.3373018771812777,0.9819520983101242
2024-02-15,1.064373152932863,1.3073038756519721,1.3064813518355338,1.364641800348678,0.9902907349980093
2024-02-16,1.068615122369555,1.314802064574099,1.314076873098278,1.3729398324938484,0.9942702613118412
2024-02-19,1.085014962547755,1.367058305718953,1.36614620714954,1.4245583343029014,1.0068263692796873
2024-02-20,1.0993343967927065,1.4139393876217228,1.4130053986516278,1.4729182739173738,1.021051361056835
2024-02-21,1.0882475151994162,1.3629235748077893,1.3620089082634328,1.4177552922007022,1.016375530073379
2024-02-22,1.0987237172078106,1.3938829778798378,1.3930695480525717,1.4505711394096419,1.0250193924222821
2024-02-23,1.1025584438416915,1.4013199004983534,1.4003635046794027,1.4573367027054631,1.0301738626434251
2024-02-26,1.1069817365038503,1.3863106493152921,1.3857555142191096,1.4417902384934334,1.0344398055414854
2024-02-27,1.111950110204174,1.3926827235031003,1.3921151445363087,1.447928403437799,1.036806510053858
2024-02-28,1.1242714952835073,1.4006023315070202,1.400242049008805,1.457576191889513,1.0446064223220464
2024-02-29,1.1214362211811304,1.3928207054999675,1.3924733257861281,1.4491555260016462,1.0426307200207559
2024-03-01,1.1310239867753917,1.4092229452847513,1.4091060820279535,1.466562231304407,1.0492941376878582
2024-03-04,1.1447602982554332,1.4377408420262237,1.4379689101571793,1.4950557239197277,1.0542236487357675
2024-03-05,1.1626381406920616,1.4741544677300198,1.4747172589694328,1.5361293449484865,1.064766972226409
2024-03-06,1.178338040485602,1.5032870529031048,1.5039452038604335,1.5660794003851974,1.0746892737978349
2024-03-07,1.1898806000045716,1.5047637732416166,1.5054988998640204,1.5668964599780837,1.0840206881217884
2024-03-11,1.1986292454956595,1.5165438495639556,1.5175422977722397,1.5836490820199494,1.0865113654982537
2024-03-12,1.206614108290748,1.5047801905601719,1.5062937494027875,1.5722617745124978,1.0907153520842876
2024-03-13,1.2005878162634736,1.466327325968051,1.4680047912321241,1.531974568530175,1.0823879142324013
2024-03-14,1.2143229267038906,1.4849130226056761,1.4869250860214347,1.5492714253633624,1.0888643761419479
2024-03-15,1.2307294746841582,1.4951289593555213,1.4978001152124871,1.5620890397231237,1.0929033966439499
2024-03-18,1.267586120171209,1.494580068624057,1.4986082252789135,1.561652220005123,1.1064814013826927
2024-03-19,1.2397886979325732,1.4808483607134841,1.483907205313686,1.5468648823999795,1.0952396930120467
2024-03-20,1.2097570804486966,1.4601634667308356,1.462145419793843,1.5251772499588925,1.0855742470857277
2024-03-26,1.2060776441851924,1.4472100354678716,1.4492738975638588,1.5112962014719615,1.0820988256672472
2024-03-27,1.203438530953544,1.433284124162824,1.4353761674034764,1.495454864917117,1.0804626275248899
2024-03-28,1.2083699646857657,1.4424710124721052,1.4446946456507508,1.5066558286661835,1.0826049879414863
2024-03-29,1.2077973506591821,1.4405283926927939,1.442724072815115,1.5048683534702703,1.0829293215082814
2024-04-01,1.216519777128534,1.4794705210279262,1.4818285100587958,1.5478190736417723,1.0882588349718954
2024-04-02,1.2109828379668344,1.4900094072533976,1.492224303744515,1.564633134154546,1.0843331327084464
2024-04-03,1.194534907058324,1.46663609243318,1.4684848609040666,1.5407711322999467,1.0770203511591983
2024-04-04,1.1972893501954038,1.4697149750242735,1.4716932715226132,1.5476504126005204,1.073593328235802
2024-04-05,1.1991926811665474,1.4709227072695923,1.472971589997863,1.5489960794746012,1.074070595398334
2024-04-08,1.2060755966638248,1.478308242999023,1.4803861464327002,1.5566899445241853,1.0781839251106407
2024-04-09,1.2060108134429384,1.4824802014147116,1.484528578187365,1.5602412269970778,1.0770141835421472
2024-04-10,1.2039151516426168,1.4805341537062333,1.4824889605484455,1.555909334783999,1.0781689576056388
2024-04-11,1.2069907427713367,1.48146520655543,1.483430091442223,1.5565869902424772,1.0814572294565183
2024-04-12,1.2087432635852826,1.4817189023198272,1.4838215165325497,1.560682951679961,1.0801847599456849
2024-04-15,1.2044029110839092,1.4740485942656631,1.4760983344604626,1.552424004830578,1.0770576080637007
2024-04-16,1.1944576740222983,1.4564499198064107,1.4584757532568362,1.5306228092029128,1.0715047392491872
2024-04-17,1.1937622847301754,1.4584809971475416,1.4604358969372664,1.5311049136702568,1.0724038194429861
2024-04-18,1.1899465318053601,1.4477091530073605,1.4497135968985058,1.5205695505017214,1.0699503007250144
2024-04-19,1.188501827630725,1.4426077158543205,1.4445288585555867,1.5129676623632335,1.0695865805818083
2024-04-22,1.1855395160316398,1.4321254660484213,1.434077899163947,1.5033755315771364,1.0689619146215523
2024-04-23,1.188719265295344,1.4377632235269173,1.4398421672644663,1.510874093653215,1.068697736531444
2024-04-24,1.183895048474511,1.4326080888529897,1.4347504558889062,1.5068520832862038,1.0646260365212739
2024-04-25,1.1876267796427635,1.4402577432877852,1.4423997431454334,1.5150740663604982,1.0675587690700548
2024-04-26,1.196363826275508,1.4504891834536475,1.4526038553730358,1.5249151868365982,1.0767571624725067
2024-04-29,1.2009480354799817,1.4598673760745602,1.462187502844632,1.5379031616580416,1.0772458667499347
2024-04-30,1.2058994058942574,1.467345419618314,1.4695386808972573,1.542348969286856,1.0802829338259217
2024-05-02,1.2251778801393607,1.4842169056707004,1.4865262578285292,1.560855569453584,1.0921982739001876
2024-05-03,1.2192342336102975,1.4753891703713158,1.4781093273038624,1.5621528210211113,1.086299008020674
2024-05-06,1.2261212991487942,1.4897305570753228,1.4927184616489457,1.5808582073005855,1.0851310525495854
2024-05-10,1.224491191038916,1.4975907455003592,1.500423174106545,1.5868166849123722,1.084951990906506
2024-05-13,1.2042720631671389,1.4763273989113281,1.4783872679316583,1.554562040448183,1.0796355256043717
2024-05-14,1.1993757892791066,1.4666314523755226,1.4685675380293377,1.544840685909326,1.0753068951492166
2024-05-15,1.1988410446876856,1.4728326782176404,1.4748556888303217,1.5550334248983277,1.0750638540983168
2024-05-16,1.1973529843611566,1.4705720187896647,1.472454608441681,1.5514892318171576,1.0749065598046004
2024-05-17,1.207030800249007,1.4807515290993096,1.4828811532155797,1.5646110697874842,1.0811515294819671
2024-05-20,1.2290683038412933,1.5265238331077033,1.5289192863350554,1.6175413590903744,1.095535497115934
2024-05-21,1.236107099625751,1.5511889173610067,1.5534652105679951,1.6416097961180742,1.101943601106666
2024-05-22,1.2435276862372147,1.5670699311448637,1.569326102316012,1.6578936184557236,1.0987076574262582
2024-05-23,1.2297729462931366,1.5320000802855365,1.534190869662282,1.6170757248463283,1.0899102227135775
2024-05-24,1.2376216989771371,1.5347188969204877,1.536974702798669,1.6224526071890644,1.0943614256651215
2024-05-27,1.2412144814517745,1.5451336918560703,1.5473761685941356,1.632235298077811,1.0971284114157203
2024-05-28,1.241827084984297,1.5470371303558283,1.549182309667357,1.6328614227940612,1.1026719721861327
2024-05-29,1.2346162663897289,1.535851237498349,1.5378133584752498,1.61679068641746,1.09883426355207
2024-05-30,1.2194952270564385,1.5325325499609939,1.5343340278364184,1.6082035297878385,1.0893141997375748
2024-05-31,1.213192801513561,1.513046407729878,1.5149055238137554,1.5891621972873573,1.0866348601391917
2024-06-03,1.2148128769670823,1.5254178863183876,1.5274138119879348,1.6049886491170233,1.0857023263842143
2024-06-04,1.2082030099092573,1.5207219662227827,1.522697467610095,1.5984657923639536,1.0804177965347224
2024-06-05,1.2121051302992005,1.5331135886109737,1.5351198158658241,1.6119820890210041,1.0817052533003308
2024-06-06,1.2113330080659053,1.5363263310265707,1.5383792981510949,1.6153508803294199,1.0811950817108542
2024-06-07,1.2123648455833491,1.534006464312475,1.5361091185326967,1.6142107559602785,1.08075759076899
2024-06-10,1.2086128598835177,1.5317657480363085,1.5337993724990693,1.610712450910896,1.0795038807939021
2024-06-11,1.2058216141904994,1.5274331378762522,1.529421633100443,1.60452045248768,1.0792470456540422
2024-06-12,1.198830842385237,1.5204082251783715,1.5223294779114693,1.595839890105414,1.0726525410908474
2024-06-13,1.2063708200087975,1.5265161711926865,1.528404543446545,1.6013422323317155,1.076619741412176
2024-06-14,1.203747635415113,1.5269867187733193,1.5289700120319474,1.6034348867919197,1.0740240414478637
2024-06-17,1.2004026142895454,1.523287027464587,1.525150375747522,1.5980468290173486,1.0748959827020648
2024-06-18,1.2006746987472368,1.521607417939234,1.5234625186871367,1.5964604101476847,1.0745694556384202
2024-06-19,1.2045488342114772,1.5274506698735886,1.5291630884921623,1.5991999955911778,1.0783193567692875
2024-06-20,1.20454130169559,1.5246760591870465,1.5262593571854328,1.5953682331846393,1.0787015008343486
2024-06-21,1.2031554237775564,1.5249123700550873,1.5263841382333456,1.5926682553732536,1.078243391920197
2024-06-24,1.2004079827228389,1.5186539303616622,1.5199052053251716,1.5802305326888417,1.0783981207784004
2024-06-25,1.2004503002721134,1.5202242808373452,1.5214081679041733,1.580021931817143,1.079893461622581
2024-06-26,1.1997330947853977,1.5188530420627435,1.520000079303535,1.576522617079466,1.080079851231231
2024-06-27,1.2114232184071305,1.5386081631583137,1.5399665182400042,1.600665131106221,1.085257260443641
2024-06-28,1.212182127260607,1.5397806736001711,1.5410994765010875,1.6012124469713684,1.0851077204983712
2024-07-01,1.21847711302103,1.5481119432854331,1.5494488278476293,1.611489286499928,1.08820423855821
2024-07-02,1.2217121731388565,1.551116890135237,1.552483991660254,1.6155478135037755,1.0910968908033558
2024-07-03,1.2273528528197992,1.5672622335219097,1.5683425970394362,1.6251718833493012,1.0980825262343394
